problem	id	path	target	language_prefix	source_ok	best_source_status	best_source_label	best_source_final_url	target_ok	best_target_status	best_target_label	best_target_final_url	best_target_canonical	best_target_hreflang_count
missing_product	gid://shopify/UrlRedirect/1768244969810	/et/collections/custom-bulk-stickers/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	et	False	429	primary	https://www.decords.com/et/collections/custom-bulk-stickers/products/custom-car-hood-vinyl-sticker-wrap-for-55626	False	429	primary	https://www.decords.com/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal		0
missing_product	gid://shopify/UrlRedirect/1768249426258	/et/collections/custom-bulk-stickers/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	et	False	429	primary	https://www.decords.com/et/collections/custom-bulk-stickers/products/wall-frame-sticker-picture-frames-72348	False	429	primary	https://www.decords.com/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst		0
missing_product	gid://shopify/UrlRedirect/1768245428562	/et/collections/koik/products/nespresso-coffee-capsule-holder-3d-23552	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	False	429	primary	https://www.decords.com/et/collections/koik/products/nespresso-coffee-capsule-holder-3d-23552	False	429	primary	https://www.decords.com/et/products/3d-printed-coffee-capsule-holder-pod-organizer		0
missing_product	gid://shopify/UrlRedirect/1768248082770	/et/collections/koik/products/thinking-panda-sticker-inspired-by-30786	/et/products/motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling	et	False	429	primary	https://www.decords.com/et/collections/koik/products/thinking-panda-sticker-inspired-by-30786	False	429	primary	https://www.decords.com/et/products/motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling		0
missing_product	gid://shopify/UrlRedirect/1768249459026	/et/collections/koik/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	et	False	429	primary	https://www.decords.com/et/collections/koik/products/wall-frame-sticker-picture-frames-72348	False	429	primary	https://www.decords.com/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst		0
missing_product	gid://shopify/UrlRedirect/1768248115538	/et/collections/parimad-muujad/products/50x-leopard-animal-skin-sticker-pack-of-75820	/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	et	False	429	primary	https://www.decords.com/et/collections/parimad-muujad/products/50x-leopard-animal-skin-sticker-pack-of-75820	False	429	primary	https://www.decords.com/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised		0
missing_product	gid://shopify/UrlRedirect/1768245789010	/et/collections/parimad-muujad/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	et	False	429	primary	https://www.decords.com/et/collections/parimad-muujad/products/custom-car-hood-vinyl-sticker-wrap-for-55626	False	429	primary	https://www.decords.com/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal		0
missing_product	gid://shopify/UrlRedirect/1768249491794	/et/collections/parimad-muujad/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	et	False	429	primary	https://www.decords.com/et/collections/parimad-muujad/products/wall-frame-sticker-picture-frames-72348	False	429	primary	https://www.decords.com/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst		0
missing_product	gid://shopify/UrlRedirect/1768245854546	/et/collections/seinakleebised/products/lion-head-wall-vinyl-sticker-roar-32474	/et/products/lovipea-seina-vinuulkleebis-moirgama-loom-kuningas-nagu-aken-kunst-dekoor-siluett-kleebis-vau-tatoveering-pulk-sulearvutil-unikaalne-ruumi-print	et	False	429	primary	https://www.decords.com/et/collections/seinakleebised/products/lion-head-wall-vinyl-sticker-roar-32474	False	429	primary	https://www.decords.com/et/products/lovipea-seina-vinuulkleebis-moirgama-loom-kuningas-nagu-aken-kunst-dekoor-siluett-kleebis-vau-tatoveering-pulk-sulearvutil-unikaalne-ruumi-print		0
missing_product	gid://shopify/UrlRedirect/1768248148306	/et/collections/wall-decals-canada/products/50x-leopard-animal-skin-sticker-pack-of-75820	/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	et	False	429	primary	https://www.decords.com/et/collections/wall-decals-canada/products/50x-leopard-animal-skin-sticker-pack-of-75820	False	429	primary	https://www.decords.com/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised		0
